No,mnodule,class_id,attr_id,Trype,Level,Card,Oject Class term (entity),Property term (attribute),Representation term,Associated class,Referenced Class,(domain),Tag,Description,Ref. Object Class,Ref. Property
912,AP,AP03,09,BBIE,1,0..1,AP Adjustment,Adjustment Date,Date,,,DATE,AdjDt,"Date of the adjustment, regardless of the date when the adjustment was created.",,
913,AP,AP03,10,RFBIE,1,0..1,AP Adjustment,Supplier Account ID,,,Supplier,IDENTIFIER 100,SuplAcntId,Unique identifier for the supplier from whom payment is expected or to whom unused credits have been applied.Typically auto-generated by the system.Shall match the Supplier_Account_ID [SuplAcntId] in the BAS_Supplier [BasSupl] table.,BAS SUPPLIER,Supplier Account ID
914,AP,AP03,11,RFBIE,1,0..1,AP Adjustment,GL Debit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlDbAcntNr,Number of the GL account on which the debit side of the transaction has been posted.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
915,AP,AP03,12,RFBIE,1,0..1,AP Adjustment,GL Credit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlCrAcntNr,Number of the GL account on which the credit side of the transaction has been posted.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
916,AP,AP03,AP61,ASBIE,1,0..1,AP Adjustment,Specified,,Adjustment Amount,,,AdjAmt,"Related adjustment amount expressed in functional, transaction, reporting and local currency.",,
917,AP,AP61,01,BBIE,2,0..1,Adjustment Amount,Functional Amount,Monatary Amount,,,AMOUNT,FuncAmt,Amount recorded in the functional or group currency.,,
918,AP,AP61,02,RFBIE,2,0..1,Adjustment Amount,Functional Currency Code,,,Currency,CURRENCY CODE,FuncCurCd,Code of the functional or group currency (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
919,AP,AP61,03,BBIE,2,0..1,Adjustment Amount,Transaction Amount,Monatary Amount,,,AMOUNT,TrAmt,Amount recorded in the transaction currency.,,
920,AP,AP61,04,RFBIE,2,0..1,Adjustment Amount,Transaction Currency Code,,,Currency,CURRENCY CODE,TrCurCd,The code of currency used in the actual transaction (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
921,AP,AP61,05,BBIE,2,0..1,Adjustment Amount,Reporting Amount,Monatary Amount,,,AMOUNT,RprtAmt,Amount recorded in the reporting currency.,,
922,AP,AP61,06,RFBIE,2,0..1,Adjustment Amount,Reporting Currency Code,,,Currency,CURRENCY CODE,RprtCurCd,The code of currency used for non-consolidated reporting (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
923,AP,AP61,07,BBIE,2,0..1,Adjustment Amount,Local Amount,Monatary Amount,,,AMOUNT,LocAmt,Amount recorded in the local currency.,,
924,AP,AP61,08,RFBIE,2,0..1,Adjustment Amount,Local Currency Code,,,Currency,CURRENCY CODE,LocCurCd,The code of currency used for local country reporting requirements  (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
925,AP,AP03,AP62,ASBIE,1,0..4,AP Adjustment,Specified,,Tax,,,Tax,Tax information.,,
926,AP,AP62,01,RFBIE,2,0..1,Tax,Tax Type Code,,,Tax Type,TAX TYPE CODE,TaxTypCd,The code of Tax type. Shall match the Tax_Type_Code [TaxTypCd] in the BAS_Tax_Type [BasTaxTyp] table.,BAS TAX TYPE,Tax Type Code
927,AP,AP62,02,BBIE,2,0..1,Tax,Tax Local Amount,Monatary Amount,,,AMOUNT,TaxLocAmt,The amount of Tax included in the transaction. Recorded in local currency.,,
928,AP,AP62,03,RFBIE,2,0..1,Tax,GL Tax Debit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlTaxDbAcntNr,The GL account number on which the debit side of the Tax transaction has been posted. Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
929,AP,AP62,04,RFBIE,2,0..1,Tax,GL Tax Credit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlTaxCrAcntNr,The GL account number on which the credit side of the Tax transaction has been posted. Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
930,AP,AP03,AP63,ASBIE,1,0..1,AP Adjustment,Specified,,Created,,,Crea,Information about the data that was created into the system.,,
931,AP,AP63,01,RFBIE,2,0..1,Created,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
932,AP,AP63,02,BBIE,2,0..1,Created,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
933,AP,AP63,03,BBIE,2,0..1,Created,Time,Time,,,TIME,Tm,The time of activity.,,
934,AP,AP03,AP64,ASBIE,1,0..1,AP Adjustment,Specified,,Approved,,,Aprv,Information about the data was approved within the system.,,
935,AP,AP64,01,RFBIE,2,0..1,Approved,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
936,AP,AP64,02,BBIE,2,0..1,Approved,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
937,AP,AP64,03,BBIE,2,0..1,Approved,Time,Time,,,TIME,Tm,The time of activity.,,
938,AP,AP03,AP65,ASBIE,1,0..1,AP Adjustment,Specified,,Last Modified,,,LstMdf,Information about the data was  last modified within the system.,,
939,AP,AP65,01,RFBIE,2,0..1,Last Modified,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
940,AP,AP65,02,BBIE,2,0..1,Last Modified,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
941,AP,AP65,03,BBIE,2,0..1,Last Modified,Time,Time,,,TIME,Tm,The time of activity.,,
942,AP,AP03,AP66,ASBIE,1,0..n,AP Adjustment,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
943,AP,AP66,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
944,AP,AP66,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
945,AP,AP03,AP67,ASBIE,1,1..n,AP Adjustment,Specified,,AP Adjustment Details,,,ApAdjDtls,Contains line item details for the invoices included in the AP_Adjustments [ApAdj] table. The table will have one line for each invoice line item impacted by each adjustment.,,
946,AP,AP67,01,RFBIE,2,1..1,AP Adjustment Details,Adjustment ID,,,AP Adjustment,IDENTIFIER 100,AdjId,Unique identifier for the adjustment of a record.Typically auto-generated by the system.Shall match the Adjustment_ID [AdjId] in the AP_Adjustments [ApAdj] table.,AP ADJUSTMENT,Adjustment ID
947,AP,AP67,02,BBIE,2,1..1,AP Adjustment Details,Adjustment Line ID,Identifier,,,IDENTIFIER 60,AdjLnId,Unique identifier for the adjustment line.Typically auto-generated by the system.,,
948,AP,AP67,03,BBIE,2,0..1,AP Adjustment Details,Adjustment Line Number,Code,,,TEXT 10,AdjLnNr,Number of the line item of the adjustment of record.This number is usually generated by manual input or automated using system-based rules.,,
949,AP,AP67,04,RFBIE,2,0..1,AP Adjustment Details,Invoice ID,,,Invoice Received,IDENTIFIER 60,InvoiId,"Unique identifier for the invoice, from which AP is derived.Typically auto-generated by the system.This field represents the invoice against which the adjustment is applied, if relevant.May be set to NULL if the adjustment is at the supplier (not invoice) level. Otherwise shall match the Invoice_ID [InvoiId] in the PUR_Invoices_Received_Details [PurInvoiRcvdDtls] table.",PUR INVOICE RECEIVED,Invoice ID
950,AP,AP67,05,RFBIE,2,0..1,AP Adjustment Details,Invoice Line ID,,,Invoice Received Details,IDENTIFIER 60,InvoiLnId,Unique identifier for the invoice line.Typically auto-generated by the system.May be set to NULL if adjustment is at the supplier (not invoice) level. Otherwise shall match the Invoice_Line_ID [InvoiLnId] in the PUR_Invoices_Received_Details [PurInvoiRcvdDtls] table.,PUR INVOICE RECEIVED DETAILS,Invoice Line ID
951,AP,AP67,06,RFBIE,2,0..1,AP Adjustment Details,Journal ID,,,GL Details,IDENTIFIER 100,JrnId,Unique identifier for journal entry.Typically auto-generated by the system.Shall match the Journal_ID [JrnId] in the GL_Details [GlDtls] table.,GL DETAILS,Journal ID
952,AP,AP67,07,RFBIE,2,0..1,AP Adjustment Details,GL Debit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlDbAcntNr,Number of the GL account on which the debit side of the transaction has been posted.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
953,AP,AP67,08,RFBIE,2,0..1,AP Adjustment Details,GL Credit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlCrAcntNr,Number of the GL account on which the credit side of the transaction has been posted.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
954,AP,AP67,AP68,ASBIE,2,0..1,AP Adjustment Details,Specified,,Adjustment Amount,,,AdjAmt,"Related adjustment amount expressed in functional, transaction, reporting and local currency.",,
955,AP,AP68,01,BBIE,3,0..1,Adjustment Amount,Functional Amount,Monatary Amount,,,AMOUNT,FuncAmt,Amount recorded in the functional or group currency.,,
956,AP,AP68,02,RFBIE,3,0..1,Adjustment Amount,Functional Currency Code,,,Currency,CURRENCY CODE,FuncCurCd,Code of the functional or group currency (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
957,AP,AP68,03,BBIE,3,0..1,Adjustment Amount,Transaction Amount,Monatary Amount,,,AMOUNT,TrAmt,Amount recorded in the transaction currency.,,
958,AP,AP68,04,RFBIE,3,0..1,Adjustment Amount,Transaction Currency Code,,,Currency,CURRENCY CODE,TrCurCd,The code of currency used in the actual transaction (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
959,AP,AP68,05,BBIE,3,0..1,Adjustment Amount,Reporting Amount,Monatary Amount,,,AMOUNT,RprtAmt,Amount recorded in the reporting currency.,,
960,AP,AP68,06,RFBIE,3,0..1,Adjustment Amount,Reporting Currency Code,,,Currency,CURRENCY CODE,RprtCurCd,The code of currency used for non-consolidated reporting (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
961,AP,AP68,07,BBIE,3,0..1,Adjustment Amount,Local Amount,Monatary Amount,,,AMOUNT,LocAmt,Amount recorded in the local currency.,,
962,AP,AP68,08,RFBIE,3,0..1,Adjustment Amount,Local Currency Code,,,Currency,CURRENCY CODE,LocCurCd,The code of currency used for local country reporting requirements  (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
963,AP,AP67,AP69,ASBIE,2,0..4,AP Adjustment Details,Specified,,Tax,,,Tax,Tax information.,,
964,AP,AP69,01,RFBIE,3,0..1,Tax,Tax Type Code,,,Tax Type,TAX TYPE CODE,TaxTypCd,The code of Tax type. Shall match the Tax_Type_Code [TaxTypCd] in the BAS_Tax_Type [BasTaxTyp] table.,BAS TAX TYPE,Tax Type Code
965,AP,AP69,02,BBIE,3,0..1,Tax,Tax Local Amount,Monatary Amount,,,AMOUNT,TaxLocAmt,The amount of Tax included in the transaction. Recorded in local currency.,,
966,AP,AP69,03,RFBIE,3,0..1,Tax,GL Tax Debit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlTaxDbAcntNr,The GL account number on which the debit side of the Tax transaction has been posted. Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
967,AP,AP69,04,RFBIE,3,0..1,Tax,GL Tax Credit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlTaxCrAcntNr,The GL account number on which the credit side of the Tax transaction has been posted. Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
968,AP,AP67,AP70,ASBIE,2,0..n,AP Adjustment Details,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
969,AP,AP70,01,BBIE,3,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
970,AP,AP70,02,RFBIE,3,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
971,Purchase,PR01,,ABIE,0,--,Purchase Requisition,,,,,,PurRqstn,Contains summary information for purchase requisitions placed during the period under review.,,
972,Purchase,PR01,01,BBIE,1,1..1,Purchase Requisition,Requisition ID,Identifier,,,IDENTIFIER 60,RqstnId,Unique identifier for the material purchase requisition. Typically auto-generated by the system.,,
973,Purchase,PR01,02,BBIE,1,0..1,Purchase Requisition,Requisition Number,Code,,,TEXT 80,RqstnNr,Number of the material purchase requisition.This number is generated either by manual input or generated by the system.,,
974,Purchase,PR01,03,BBIE,1,0..1,Purchase Requisition,Requisition Date,Date,,,DATE,RqstnDt,Submission date of the purchase requisition.,,
975,Purchase,PR01,04,BBIE,1,0..1,Purchase Requisition,Status,Code,,,STATUS CODE,Stat,"Status of the purchase requisition recorded at the moment.Different ERP vendors have different content for this information output.EXAMPLE   New, save, submit, approved, frozen.",,
976,Purchase,PR01,05,BBIE,1,0..1,Purchase Requisition,Remark,Text,,,TEXT 500,Rmrk,Free-form text description.,,
977,Purchase,PR01,PR51,ASBIE,1,0..1,Purchase Requisition,Specified,,Created,,,Crea,Information about the data that was created into the system.,,
978,Purchase,PR51,01,RFBIE,2,0..1,Created,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
979,Purchase,PR51,02,BBIE,2,0..1,Created,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
980,Purchase,PR01,PR52,ASBIE,1,0..n,Purchase Requisition,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
981,Purchase,PR52,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
982,Purchase,PR52,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
983,Purchase,PR01,PR53,ASBIE,1,1..n,Purchase Requisition,Specified,,Purchase Requisition Details,,,PurRqstnDtls,"Contains line item details for the purchase requisitions. The table contains material, quantity, due date, requisition organization and the purchase organization.",,
984,Purchase,PR53,01,RFBIE,2,1..1,Purchase Requisition Details,Requisition ID,,,Purchase Requisition,IDENTIFIER 60,RqstnId,Unique identifier for the material purchase requisition.Typically auto-generated by the system.Shall match the Requisition_ID [RqstnId] in the PUR_Requisitions [PurRqstn] table.,PUR REQUISITION,Requisition ID
985,Purchase,PR53,02,BBIE,2,1..1,Purchase Requisition Details,Requisition Line ID,Identifier,,,IDENTIFIER 60,RqstnLnId,Unique identifier for the material purchase requisition line.Typically auto-generated by the system.A requisition form may apply for purchasing one or more materials. Each material requisitioned should be described in a separate row.,,
986,Purchase,PR53,03,BBIE,2,0..1,Purchase Requisition Details,Requisition Line Number,Code,,,TEXT 10,RqstnLnNr,Number of the requisition line.This number is generated either by manual input or by the system.,,
987,Purchase,PR53,04,RFBIE,2,0..1,Purchase Requisition Details,Product ID,,,Inventory Product,IDENTIFIER 75,PrdctId,Unique identifier for the product.Typically auto-generated by the system.Shall match the Inventory_Product_ID [InvPrdctId] in the INV_Product [InvPrdct] table.,INV PRODUCT,Inventory Product ID
988,Purchase,PR53,05,BBIE,2,0..1,Purchase Requisition Details,Requisition Due Date,Date,,,DATE,RqstnDueDt,Last requested delivery of the purchased materials in the purchasing requisition.Completion of the delivery shall not be later than this date.,,
989,Purchase,PR53,06,BBIE,2,0..1,Purchase Requisition Details,Requisition Quantity,Quantity,,,QUANTITY,RqstnQt,Quantity of the purchased materials in the requisition.,,
990,Purchase,PR53,07,BBIE,2,0..1,Purchase Requisition Details,Approved Quantity,Quantity,,,QUANTITY,AprvQt,Approved quantity of the purchased materials from the requisition quantity.The approved quantity can differ from the requisition quantity.,,
991,Purchase,PR53,08,RFBIE,2,0..1,Purchase Requisition Details,Purchase UOM Code,,,Measurement Unit,MEASUREMENT UNIT CODE,PurUomCd,Code for the measurement unit for purchasing materials.Shall match the UOM_Code [UomCd] in the BAS_Measurement_Unit [BasMeaUnit] table.,BAS MEASUREMENT UNIT,UOM Code
992,Purchase,PR53,09,RFBIE,2,0..1,Purchase Requisition Details,Project ID,,,Project,IDENTIFIER 60,ProjId,Unique identifier for the project.Typically auto-generated by the system.Shall match the Project_ID [ProjId] in the BAS_Project [BasProj] table.,BAS PROJECT,Project ID
993,Purchase,PR53,10,RFBIE,2,0..1,Purchase Requisition Details,Supplier Account ID,,,Supplier,IDENTIFIER 100,SuplAcntId,Unique identifier for the supplier account in the purchase requisition.Typically auto-generated by the system.May be set to NULL if no transaction related purchase requisition. Shall match the Supplier_Account_ID [SuplAcntId] in the BAS_Supplier [BasSupl] table.,BAS SUPPLIER,Supplier Account ID
994,Purchase,PR53,11,RFBIE,2,0..1,Purchase Requisition Details,Purchase Organization Code,,,Business Segment,IDENTIFIER 25,PurOrgCd,Unique code of the purchase organization that signed the requisition.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
995,Purchase,PR53,12,RFBIE,2,0..1,Purchase Requisition Details,Requisition Organization Code,,,Business Segment,IDENTIFIER 25,RqstnOrgCd,Unique code of the organization with the material purchase request.The requisition organization is a business organization or an administrative organization.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
996,Purchase,PR53,13,BBIE,2,0..1,Purchase Requisition Details,Status,Code,,,STATUS CODE,Stat,"Status of the requisition line.EXAMPLE   In process, rejected.",,
997,Purchase,PR53,PR54,ASBIE,2,0..n,Purchase Requisition Details,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
998,Purchase,PR54,01,BBIE,3,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
999,Purchase,PR54,02,RFBIE,3,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
1000,Purchase,PR02,,ABIE,0,--,Purchase Contract,,,,,,PurContr,"Contains summary information of a purchase contract placed during the period under review. In situations where companies only require purchase orders, the purchase contract(s) may not always be available.",,
1001,Purchase,PR02,01,BBIE,1,1..1,Purchase Contract,Contract ID,Identifier,,,IDENTIFIER 60,ContrId,Unique identifier for the contract.Typically auto-generated by the system.,,
1002,Purchase,PR02,02,BBIE,1,0..1,Purchase Contract,Contract Number,Code,,,TEXT 80,ContrNr,Number of the contract.This number is generated either by manual input or generated by the system.,,
1003,Purchase,PR02,03,BBIE,1,0..1,Purchase Contract,Contract Type Name,Text,,,TEXT 80,ContrTypNm,"Name of the contract type used in sales and purchase activities.EXAMPLE  Framework agreement, short-term contract.EXAMPLE  Business agreement, quantity contract, value contract, price contract.",,
1004,Purchase,PR02,04,BBIE,1,0..1,Purchase Contract,Contract Beginning Date,Date,,,DATE,ContrBegDt,Beginning date of the contract.,,
1005,Purchase,PR02,05,BBIE,1,0..1,Purchase Contract,Contract Ending Date,Date,,,DATE,ContrEndDt,Ending date of the contract.,,
1006,Purchase,PR02,06,RFBIE,1,0..1,Purchase Contract,Supplier Account ID,,,Supplier,IDENTIFIER 100,SuplAcntId,Unique identifier for the supplier account in the purchase contract.Typically auto-generated by the system.Shall match the Supplier_Account_ID [SuplAcntId] in the BAS_Supplier [BasSupl] table.,BAS SUPPLIER,Supplier Account ID
1007,Purchase,PR02,07,RFBIE,1,0..1,Purchase Contract,Purchase Organization Code,,,Business Segment,IDENTIFIER 25,PurOrgCd,Unique code of the purchase organization that signed the contract.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
1008,Purchase,PR02,08,RFBIE,1,0..1,Purchase Contract,Purchaser ID,,,Employee,IDENTIFIER 60,PrchsrId,Code of the person who is responsible for purchase contracts.Shall match the Employee_ID [EmpId] in the BAS_Employee [BasEmp] table.,BAS EMPLOYEE,Employee ID
1009,Purchase,PR02,09,RFBIE,1,0..1,Purchase Contract,Settlement Method Code,,,Settlement Method,IDENTIFIER 60,SetlMthdCd,"Code value or indicator for the method by which the transaction debit or credit amount was settled or apportioned by the customer or the supplier.EXAMPLE   Check, wire transfer, cash.Shall match the Settlement_Method_Code [SetlMthdCd] in the BAS_Settlement_Method [BasSetlMthd] table.",BAS SETTLEMENT METHOD,Settlement Method Code
1010,Purchase,PR02,10,RFBIE,1,0..1,Purchase Contract,Payment Term Code,,,Payment Term,PAYMENT TERM CODE,PayTermCd,"Code for the payment term.EXAMPLE   Cash on delivery, payment 30 days after delivery date.Shall match the Payment_Term_Code [PayTermCd] in the BAS_Payment_Term [BasPayTerm] table.",BAS PAYMENT TERM,Payment Term Code
1011,Purchase,PR02,11,RFBIE,1,0..1,Purchase Contract,Contract Transaction Currency Code,,,Currency,CURRENCY CODE,ContrTrCurCd,Transactional currency specified in the contract (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
1012,Purchase,PR02,12,BBIE,1,0..1,Purchase Contract,Status,Code,,,STATUS CODE,Stat,"Status of the contract.EXAMPLE   New, save, submit, frozen.",,
1013,Purchase,PR02,13,BBIE,1,0..1,Purchase Contract,Remark,Text,,,TEXT 500,Rmrk,Free-form text description.,,
1014,Purchase,PR02,PR55,ASBIE,1,0..1,Purchase Contract,Specified,,Created,,,Crea,Information about the data that was created into the system.,,
1015,Purchase,PR55,01,RFBIE,2,0..1,Created,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
1016,Purchase,PR55,02,BBIE,2,0..1,Created,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
1017,Purchase,PR02,PR56,ASBIE,1,0..1,Purchase Contract,Specified,,Approved,,,Aprv,Information about the data was approved within the system.,,
1018,Purchase,PR56,01,RFBIE,2,0..1,Approved,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
1019,Purchase,PR02,PR57,ASBIE,1,0..n,Purchase Contract,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
1020,Purchase,PR57,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
1021,Purchase,PR57,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
1022,Purchase,PR02,PR58,ASBIE,1,1..n,Purchase Contract,Specified,,Purchase Contract Details,,,PurContrDtls,"Contains line item details for the purchase contracts. Each line includes material, quantity, supplier, price per unit and trading amount.",,
1023,Purchase,PR58,01,RFBIE,2,1..1,Purchase Contract Details,Contract ID,,,Purchase Contract,IDENTIFIER 60,ContrId,Unique identifier for the contract.Typically auto-generated by the system.Shall match the Contract_ID [ContrId] in the Sales or Purchase Contracts table.,PUR CONTRACT,Contract ID
1024,Purchase,PR58,02,BBIE,2,1..1,Purchase Contract Details,Contract Line ID,Identifier,,,IDENTIFIER 60,ContrLnId,"Unique identifier for the sales or purchase contract line.Typically auto-generated by the system.One purchase contract may contain more than one material and each material may be described by a line of the contract (e.g. including contract ID, date, serial number).",,
1025,Purchase,PR58,03,BBIE,2,0..1,Purchase Contract Details,Contract Line Number,Code,,,TEXT 10,ContrLnNr,"Number of a contract line.This number is usually generated by manual input or is system-generated (e.g. including contract ID, date, serial number).",,
1026,Purchase,PR58,04,RFBIE,2,0..1,Purchase Contract Details,Settlement Organization Code,,,Business Segment,IDENTIFIER 25,SetlOrgCd,Unique code of the settlement organization.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
1027,Purchase,PR58,05,RFBIE,2,0..1,Purchase Contract Details,Receipt Organization Code,,,Business Segment,IDENTIFIER 25,RcptOrgCd,"Unique code of the receiving materials organization (Receiving organization, can be different from the settlement organization).The organization receiving materials may be a warehouse or an administration organization.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.",BAS BUSINESS SEGMENT,Business Segment Code
1028,Purchase,PR58,06,RFBIE,2,0..1,Purchase Contract Details,Product ID,,,Inventory Product,IDENTIFIER 75,PrdctId,Unique identifier for the product.Typically auto-generated by the system.Shall match the Inventory_Product_ID [InvPrdctId] in the INV_Product [InvPrdct] table.,INV PRODUCT,Inventory Product ID
1029,Purchase,PR58,07,BBIE,2,0..1,Purchase Contract Details,Contract Quantity,Quantity,,,QUANTITY,ContrQt,Quantity of the product or materials in the contract.,,
1030,Purchase,PR58,08,RFBIE,2,0..1,Purchase Contract Details,UOM Code,,,Measurement Unit,MEASUREMENT UNIT CODE,UomCd,Code for the measurement unit for the product or materials.Shall match the UOM_Code [UomCd] in the BAS_Measurement_Unit [BasMeaUnit] table.,BAS MEASUREMENT UNIT,UOM Code
1031,Purchase,PR58,09,BBIE,2,0..1,Purchase Contract Details,Tax Exclude Unit Price,Unit Price Amount,,,PRICE,TaxExclUnitPrice,Unit price (excluding tax) in transaction currency.,,
1032,Purchase,PR58,10,BBIE,2,0..1,Purchase Contract Details,Tax Include Unit Price,Unit Price Amount,,,PRICE,TaxInclUnitPrice,Unit price (including tax) in transaction currency.,,
