d_A025,d_A026,d_A001,A025-001,A025-A026-008,A025-A026-007,A025-A027-002,I,A026-A076-001,A026-A076-002,A026-A076-003,A025-A001-001,A025-A001-002,A025-A001-003,P,Q,R,S,A026-014,A026-012,A026-011,A025-009,A025-002,Y,A026-003,A026-A009-002,A026-A009-005,A026-A009-003,A026-A009-007,A026-A009-006,A026-027,A026-A089-001,A026-A089-002,A026-006,A026-013,AM,A026-010,A026-A001-001,A026-A001-002,A026-A001-003,A026-A001-004,
0001-20090831-63-1134-1-2729,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090831-63-1134-1-2729,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,723,Statutory welfare expenses,account,,,,debit,9672,ISO4217:JPY,2009-08-31,proposed,LegalWelfareExpense,児童拠出金　事業主負担分,,,,,
0001-20090831-63-1134-1-2729,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090831-63-1134-1-2729,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,752,Insurance fee,account,,,,debit,81000,ISO4217:JPY,2009-08-31,proposed,InsuranceExpense,Insurance fee,,,,,
0001-20090831-63-1134-1-2729,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090831-63-1134-1-2729,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,credit,81000,ISO4217:JPY,2009-08-31,proposed,OrdinaryDeposit,保険料,,,,,
0001-20090831-63-1134-1-2729,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090831-63-1134-1-2729,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mizuho Bank Head Office,20,Sub account,,,,,,,,,,,,
0001-20090831-66-1135-1-2731,,,,entries,1135-2731,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:21,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,66,standard,,,,,,,,,,,,,,,,,,
0001-20090831-66-1135-1-2731,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,744,Lease fee,account,,,,debit,199858,ISO4217:JPY,2009-08-31,proposed,LeaseExpense,Lease fee,,,,,
0001-20090831-66-1135-1-2731,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090831-66-1135-1-2731,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,9992,ISO4217:JPY,2009-08-31,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090831-66-1135-1-2731,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090831-66-1135-1-2731,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,credit,209850,ISO4217:JPY,2009-08-31,proposed,OrdinaryDeposit,リース料,,,,,
0001-20090831-66-1135-1-2731,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090831-66-1135-1-2731,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mizuho Bank Head Office,20,Sub account,,,,,,,,,,,,
0001-20090831-72-1136-1-2733,,,,entries,1136-2733,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:21,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,72,standard,,,,,,,,,,,,,,,,,,
0001-20090831-72-1136-1-2733,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,752,Insurance fee,account,,,,debit,62000,ISO4217:JPY,2009-08-31,proposed,InsuranceExpense,Insurance fee,,,,,
0001-20090831-72-1136-1-2733,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090831-72-1136-1-2733,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,credit,62000,ISO4217:JPY,2009-08-31,proposed,OrdinaryDeposit,保険料,,,,,
0001-20090831-72-1136-1-2733,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090831-72-1136-1-2733,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mitsui Bank Nagoya,30,Sub account,,,,,,,,,,,,
0001-20090831-73-1137-1-2735,,,,entries,1137-2735,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:21,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,73,standard,,,,,,,,,,,,,,,,,,
0001-20090831-73-1137-1-2735,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,752,Insurance fee,account,,,,debit,57000,ISO4217:JPY,2009-08-31,proposed,InsuranceExpense,Insurance fee支払い,,,,,
0001-20090831-73-1137-1-2735,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090831-73-1137-1-2735,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,credit,57000,ISO4217:JPY,2009-08-31,proposed,OrdinaryDeposit,保険料支払い,,,,,
0001-20090831-73-1137-1-2735,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090831-73-1137-1-2735,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Fukuoka Kitakyushu,50,Sub account,,,,,,,,,,,,
0001-20090831-75-1138-1-2737,,,,entries,1138-2737,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:21,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,75,standard,,,,,,,,,,,,,,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,737,Supplies expense,account,,,,credit,281109,ISO4217:JPY,2009-08-31,proposed,SuppliesExpense,Supplies expense　Department配賦,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,737,Supplies expense,account,,,,debit,30921,ISO4217:JPY,2009-08-31,proposed,SuppliesExpense,,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,737,Supplies expense,account,,,,debit,134935,ISO4217:JPY,2009-08-31,proposed,SuppliesExpense,,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,737,Supplies expense,account,,,,debit,28110,ISO4217:JPY,2009-08-31,proposed,SuppliesExpense,,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,737,Supplies expense,account,,,,debit,67466,ISO4217:JPY,2009-08-31,proposed,SuppliesExpense,,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,737,Supplies expense,account,,,,debit,19677,ISO4217:JPY,2009-08-31,proposed,SuppliesExpense,,,,,,
0001-20090831-75-1138-1-2737,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090831-77-1139-1-2739,,,,entries,1139-2739,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:21,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,77,standard,,,,,,,,,,,,,,,,,,
0001-20090831-77-1139-1-2739,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,731,Fare,account,,,,debit,138734,ISO4217:JPY,2009-08-31,proposed,Freightout,Fare,,,,,
0001-20090831-77-1139-1-2739,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090831-77-1139-1-2739,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,6936,ISO4217:JPY,2009-08-31,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090831-77-1139-1-2739,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090831-77-1139-1-2739,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,322,Credit card accounts payable,account,,,,credit,145670,ISO4217:JPY,2009-08-31,proposed,AccountsPayableOther,運賃,,,,,
0001-20090831-77-1139-1-2739,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090831-83-1140-1-2741,,,,entries,1140-2741,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:21,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,83,standard,,,,,,,,,,,,,,,,,,
0001-20090831-83-1140-1-2741,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,40477,ISO4217:JPY,2009-08-31,proposed,VehiclesExpense,車両管理費,,,,,
0001-20090831-83-1140-1-2741,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090831-83-1140-1-2741,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,2023,ISO4217:JPY,2009-08-31,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090831-83-1140-1-2741,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090831-83-1140-1-2741,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,42500,ISO4217:JPY,2009-08-31,proposed,CashHand,車両管理費,,,,,
0001-20090831-83-1140-1-2741,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090831-83-1140-1-2741,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,322,Credit card accounts payable,account,,,,debit,7936710,ISO4217:JPY,2009-08-31,proposed,AccountsPayableOther,7月分支払,,,,,
0001-20090831-83-1140-1-2741,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090831-83-1140-1-2741,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,credit,7936710,ISO4217:JPY,2009-08-31,proposed,OrdinaryDeposit,7月分支払,,,,,
0001-20090831-83-1140-1-2741,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090831-83-1140-1-2741,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mizuho Bank Head Office,20,Sub account,,,,,,,,,,,,
0001-20090831-94-1141-1-2743,,,,entries,1141-2743,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:21,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,94,standard,,,,,,,,,,,,,,,,,,
0001-20090831-94-1141-1-2743,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,791,Miscellaneous expenses,account,,,,debit,4905,ISO4217:JPY,2009-08-31,proposed,MiscellaneousExpense,お茶代他,,,,,
0001-20090831-94-1141-1-2743,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090831-94-1141-1-2743,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,245,ISO4217:JPY,2009-08-31,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090831-94-1141-1-2743,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090831-94-1141-1-2743,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,5150,ISO4217:JPY,2009-08-31,proposed,CashHand,お茶代他,,,,,
0001-20090831-94-1141-1-2743,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090901-56-1174-1-2809,,,,entries,1174-2809,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:22,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,56,standard,,,,,,,,,,,,,,,,,,
0001-20090901-56-1174-1-2809,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,726,Travel expenses,account,,,,debit,29505,ISO4217:JPY,2009-09-01,proposed,TravelingExpense,旅費,,,,,
0001-20090901-56-1174-1-2809,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090901-56-1174-1-2809,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,1475,ISO4217:JPY,2009-09-01,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090901-56-1174-1-2809,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090901-56-1174-1-2809,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,30980,ISO4217:JPY,2009-09-01,proposed,CashHand,旅費,,,,,
0001-20090901-56-1174-1-2809,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090901-84-1175-1-2811,,,,entries,1175-2811,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:22,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,84,standard,,,,,,,,,,,,,,,,,,
0001-20090901-84-1175-1-2811,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,726,Travel expenses,account,,,,debit,4953,ISO4217:JPY,2009-09-01,proposed,TravelingExpense,ＪＲ代,,,,,
0001-20090901-84-1175-1-2811,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090901-84-1175-1-2811,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,247,ISO4217:JPY,2009-09-01,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090901-84-1175-1-2811,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090901-84-1175-1-2811,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,5200,ISO4217:JPY,2009-09-01,proposed,CashHand,ＪＲ代,,,,,
0001-20090901-84-1175-1-2811,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090902-150-1181-1-2823,,,,entries,1181-2823,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:22,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,150,standard,,,,,,,,,,,,,,,,,,
0001-20090902-150-1181-1-2823,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,733,Entertainment expenses,account,,,,debit,4143,ISO4217:JPY,2009-09-02,proposed,EntertainmentExpense,食事代　長崎港屋2名,,,,,
0001-20090902-150-1181-1-2823,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090902-150-1181-1-2823,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,207,ISO4217:JPY,2009-09-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090902-150-1181-1-2823,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090902-150-1181-1-2823,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,4350,ISO4217:JPY,2009-09-02,proposed,CashHand,食事代　長崎港屋2名,,,,,
0001-20090902-150-1181-1-2823,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090902-151-1182-1-2825,,,,entries,1182-2825,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:22,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,151,standard,,,,,,,,,,,,,,,,,,
0001-20090902-151-1182-1-2825,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,733,Entertainment expenses,account,,,,debit,7315,ISO4217:JPY,2009-09-02,proposed,EntertainmentExpense,食事代　トルテーヤ2名,,,,,
0001-20090902-151-1182-1-2825,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090902-151-1182-1-2825,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,365,ISO4217:JPY,2009-09-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090902-151-1182-1-2825,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090902-151-1182-1-2825,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,21985,ISO4217:JPY,2009-09-02,proposed,CashHand,食事代　トルテーヤ2名,,,,,
0001-20090902-151-1182-1-2825,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090902-151-1182-1-2825,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,733,Entertainment expenses,account,,,,debit,13624,ISO4217:JPY,2009-09-02,proposed,EntertainmentExpense,食事代　和風ダイニング法善寺3名,,,,,
0001-20090902-151-1182-1-2825,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090902-151-1182-1-2825,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,681,ISO4217:JPY,2009-09-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090902-151-1182-1-2825,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090902-159-1183-1-2827,,,,entries,1183-2827,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:22,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,159,standard,,,,,,,,,,,,,,,,,,
0001-20090902-159-1183-1-2827,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,726,Travel expenses,account,,,,debit,4429,ISO4217:JPY,2009-09-02,proposed,TravelingExpense,タクシー代,,,,,
0001-20090902-159-1183-1-2827,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090902-159-1183-1-2827,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,221,ISO4217:JPY,2009-09-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090902-159-1183-1-2827,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090902-159-1183-1-2827,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,4650,ISO4217:JPY,2009-09-02,proposed,CashHand,タクシー代,,,,,
0001-20090902-159-1183-1-2827,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090902-164-1184-1-2829,,,,entries,1184-2829,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:22,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,164,standard,,,,,,,,,,,,,,,,,,
0001-20090902-164-1184-1-2829,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,754,Office consumables expenses,account,,,,debit,2958,ISO4217:JPY,2009-09-02,proposed,StationeryExpense,事務用品,,,,,
0001-20090902-164-1184-1-2829,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090902-164-1184-1-2829,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,147,ISO4217:JPY,2009-09-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090902-164-1184-1-2829,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090902-164-1184-1-2829,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,3105,ISO4217:JPY,2009-09-02,proposed,CashHand,事務用品,,,,,
0001-20090902-164-1184-1-2829,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090902-19-1176-1-2813,,,,entries,1176-2813,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:22,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,19,standard,,,,,,,,,,,,,,,,,,
0001-20090902-19-1176-1-2813,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,726,Travel expenses,account,,,,debit,16067,ISO4217:JPY,2009-09-02,proposed,TravelingExpense,旅費,,,,,
0001-20090902-19-1176-1-2813,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20090902-19-1176-1-2813,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,803,ISO4217:JPY,2009-09-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
