d_A025,d_A026,d_A001,A026-A076-001,A026-A076-002,A026-014,A026-012,A026-011,A025-009,A026-A009-001,A026-A009-002,A026-A009-005,A026-A009-003,A026-A009-007,A026-A009-006,A026-027,A026-A089-001,A026-A089-002,A026-006,A026-010,A026-A001-001,A026-A001-002,A026-A001-003
0001-20090831-114-1147-1-2755,10,,,,,,,,,,,,,,,,,,,22,㈱渡辺産業,trading partner
0001-20090831-114-1147-1-2755,10,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-114-1147-1-2755,11,,,,,,,,511,Sales,account,,,,credit,746944,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分売上,,,
0001-20090831-114-1147-1-2755,11,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-114-1147-1-2755,12,,,,,,,,335,Provisional receipt consumption tax,account,,,,credit,37347,ISO4217:JPY,2009-08-31,,,,
0001-20090831-114-1147-1-2755,12,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-115-1148-1-2757,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090831-115-1148-1-2757,1,,,,,,,,131,Ordinary deposit,account,,,,debit,1314558,ISO4217:JPY,2009-08-31,09年8月31日伝票No294マークマーケット,,,
0001-20090831-115-1148-1-2757,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-115-1148-1-2757,1,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-115-1148-1-2757,2,,,,,,,,152,Accounts receivable,account,,,,credit,1314558,ISO4217:JPY,2009-08-31,09年8月31日伝票No294マークマーケット,,,
0001-20090831-115-1148-1-2757,2,,,,,,,,,,,,,,,,,,,4,ﾏｰｸﾏｰｹｯﾄ,trading partner
0001-20090831-115-1148-1-2757,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-115-1148-1-2757,3,,,,,,,,741,Bank transaction fee,account,,,,debit,800,ISO4217:JPY,2009-08-31,09年8月31日伝票No294マークマーケット,,,
0001-20090831-115-1148-1-2757,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-115-1148-1-2757,4,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,40,ISO4217:JPY,2009-08-31,,,,
0001-20090831-115-1148-1-2757,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-115-1148-1-2757,5,,,,,,,,152,Accounts receivable,account,,,,credit,840,ISO4217:JPY,2009-08-31,09年8月31日伝票No294マークマーケット,,,
0001-20090831-115-1148-1-2757,5,,,,,,,,,,,,,,,,,,,4,ﾏｰｸﾏｰｹｯﾄ,trading partner
0001-20090831-115-1148-1-2757,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-116-1149-1-2759,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090831-116-1149-1-2759,1,,,,,,,,131,Ordinary deposit,account,,,,debit,1398037,ISO4217:JPY,2009-08-31,09年8月31日伝票No295株式会社　ＡＢＣ,,,
0001-20090831-116-1149-1-2759,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-116-1149-1-2759,1,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-116-1149-1-2759,2,,,,,,,,152,Accounts receivable,account,,,,credit,1398037,ISO4217:JPY,2009-08-31,09年8月31日伝票No295株式会社　ＡＢＣ,,,
0001-20090831-116-1149-1-2759,2,,,,,,,,,,,,,,,,,,,5,㈱ABC,trading partner
0001-20090831-116-1149-1-2759,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-116-1149-1-2759,3,,,,,,,,741,Bank transaction fee,account,,,,debit,800,ISO4217:JPY,2009-08-31,09年8月31日伝票No295株式会社　ＡＢＣ,,,
0001-20090831-116-1149-1-2759,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-116-1149-1-2759,4,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,40,ISO4217:JPY,2009-08-31,,,,
0001-20090831-116-1149-1-2759,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-116-1149-1-2759,5,,,,,,,,152,Accounts receivable,account,,,,credit,840,ISO4217:JPY,2009-08-31,09年8月31日伝票No295株式会社　ＡＢＣ,,,
0001-20090831-116-1149-1-2759,5,,,,,,,,,,,,,,,,,,,5,㈱ABC,trading partner
0001-20090831-116-1149-1-2759,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-116-1149-1-2759,6,,,,,,,,744,Lease fee,account,,,,debit,80000,ISO4217:JPY,2009-08-31,Lease fee,,,
0001-20090831-116-1149-1-2759,6,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-116-1149-1-2759,7,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,4000,ISO4217:JPY,2009-08-31,,,,
0001-20090831-116-1149-1-2759,7,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-116-1149-1-2759,8,,,,,,,,131,Ordinary deposit,account,,,,credit,84000,ISO4217:JPY,2009-08-31,リース料,,,
0001-20090831-116-1149-1-2759,8,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-116-1149-1-2759,8,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-117-1150-1-2761,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090831-117-1150-1-2761,1,,,,,,,,150,Bills recivable,account,,,,debit,10229420,ISO4217:JPY,2009-08-31,09年8月31日伝票No296もみじデパート,,,
0001-20090831-117-1150-1-2761,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-117-1150-1-2761,2,,,,,,,,152,Accounts receivable,account,,,,credit,10229420,ISO4217:JPY,2009-08-31,09年8月31日伝票No296もみじデパート,,,
0001-20090831-117-1150-1-2761,2,,,,,,,,,,,,,,,,,,,12,もみじﾃﾞﾊﾟｰﾄ,trading partner
0001-20090831-117-1150-1-2761,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-118-1151-1-2763,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090831-118-1151-1-2763,1,,,,,,,,131,Ordinary deposit,account,,,,debit,394697,ISO4217:JPY,2009-08-31,09年8月31日伝票No297株式会社　畠山商事,,,
0001-20090831-118-1151-1-2763,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-118-1151-1-2763,1,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-118-1151-1-2763,2,,,,,,,,152,Accounts receivable,account,,,,credit,394697,ISO4217:JPY,2009-08-31,09年8月31日伝票No297株式会社　畠山商事,,,
0001-20090831-118-1151-1-2763,2,,,,,,,,,,,,,,,,,,,24,㈱畠山商事,trading partner
0001-20090831-118-1151-1-2763,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-118-1151-1-2763,3,,,,,,,,741,Bank transaction fee,account,,,,debit,600,ISO4217:JPY,2009-08-31,09年8月31日伝票No297株式会社　畠山商事,,,
0001-20090831-118-1151-1-2763,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-118-1151-1-2763,4,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,30,ISO4217:JPY,2009-08-31,,,,
0001-20090831-118-1151-1-2763,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-118-1151-1-2763,5,,,,,,,,152,Accounts receivable,account,,,,credit,630,ISO4217:JPY,2009-08-31,09年8月31日伝票No297株式会社　畠山商事,,,
0001-20090831-118-1151-1-2763,5,,,,,,,,,,,,,,,,,,,24,㈱畠山商事,trading partner
0001-20090831-118-1151-1-2763,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-119-1152-1-2765,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090831-119-1152-1-2765,1,,,,,,,,131,Ordinary deposit,account,,,,debit,1011591,ISO4217:JPY,2009-08-31,09年8月31日伝票No298株式会社　千代サービス,,,
0001-20090831-119-1152-1-2765,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-119-1152-1-2765,1,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-119-1152-1-2765,2,,,,,,,,152,Accounts receivable,account,,,,credit,1011591,ISO4217:JPY,2009-08-31,09年8月31日伝票No298株式会社　千代サービス,,,
0001-20090831-119-1152-1-2765,2,,,,,,,,,,,,,,,,,,,29,㈱千代ｻｰﾋﾞｽ,trading partner
0001-20090831-119-1152-1-2765,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-119-1152-1-2765,3,,,,,,,,741,Bank transaction fee,account,,,,debit,300,ISO4217:JPY,2009-08-31,09年8月31日伝票No298株式会社　千代サービス,,,
0001-20090831-119-1152-1-2765,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-119-1152-1-2765,4,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,15,ISO4217:JPY,2009-08-31,,,,
0001-20090831-119-1152-1-2765,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-119-1152-1-2765,5,,,,,,,,152,Accounts receivable,account,,,,credit,315,ISO4217:JPY,2009-08-31,09年8月31日伝票No298株式会社　千代サービス,,,
0001-20090831-119-1152-1-2765,5,,,,,,,,,,,,,,,,,,,29,㈱千代ｻｰﾋﾞｽ,trading partner
0001-20090831-119-1152-1-2765,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-120-1153-1-2767,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090831-120-1153-1-2767,1,,,,,,,,111,Cash,account,,,,debit,740835,ISO4217:JPY,2009-08-31,09年8月31日伝票No454合同会社　エイム商事,,,
0001-20090831-120-1153-1-2767,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-120-1153-1-2767,2,,,,,,,,152,Accounts receivable,account,,,,credit,740835,ISO4217:JPY,2009-08-31,09年8月31日伝票No454合同会社　エイム商事,,,
0001-20090831-120-1153-1-2767,2,,,,,,,,,,,,,,,,,,,10,(同)ｴｲﾑ商事,trading partner
0001-20090831-120-1153-1-2767,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-121-1154-1-2769,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090831-121-1154-1-2769,1,,,,,,,,541,Product purchase amount,account,,,,debit,86184,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-121-1154-1-2769,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-121-1154-1-2769,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,4307,ISO4217:JPY,2009-08-31,,,,
0001-20090831-121-1154-1-2769,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-121-1154-1-2769,3,,,,,,,,312,Accounts payable,account,,,,credit,90491,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-121-1154-1-2769,3,,,,,,,,,,,,,,,,,,,2,㈱Pole,trading partner
0001-20090831-121-1154-1-2769,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-121-1154-1-2769,4,,,,,,,,541,Product purchase amount,account,,,,debit,70560,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-121-1154-1-2769,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-121-1154-1-2769,5,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,3528,ISO4217:JPY,2009-08-31,,,,
0001-20090831-121-1154-1-2769,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-121-1154-1-2769,6,,,,,,,,312,Accounts payable,account,,,,credit,74088,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-121-1154-1-2769,6,,,,,,,,,,,,,,,,,,,8,㈱山下,trading partner
0001-20090831-121-1154-1-2769,6,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090831-122-1155-1-2771,1,,,,,,,,541,Product purchase amount,account,,,,debit,2812888,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,140624,ISO4217:JPY,2009-08-31,,,,
0001-20090831-122-1155-1-2771,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,3,,,,,,,,312,Accounts payable,account,,,,credit,2953512,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,3,,,,,,,,,,,,,,,,,,,14,(同)ｳｪｽﾄ,trading partner
0001-20090831-122-1155-1-2771,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,4,,,,,,,,541,Product purchase amount,account,,,,debit,3096380,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,5,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,154785,ISO4217:JPY,2009-08-31,,,,
0001-20090831-122-1155-1-2771,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,6,,,,,,,,312,Accounts payable,account,,,,credit,3251165,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,6,,,,,,,,,,,,,,,,,,,3,㈱ﾁｪｯｸ,trading partner
0001-20090831-122-1155-1-2771,6,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,7,,,,,,,,541,Product purchase amount,account,,,,debit,1254752,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,7,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,8,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,62724,ISO4217:JPY,2009-08-31,,,,
0001-20090831-122-1155-1-2771,8,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,9,,,,,,,,312,Accounts payable,account,,,,credit,1317476,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,9,,,,,,,,,,,,,,,,,,,13,ﾅｶﾑﾗ産業㈱,trading partner
0001-20090831-122-1155-1-2771,9,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,10,,,,,,,,541,Product purchase amount,account,,,,debit,5847125,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,10,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,11,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,292311,ISO4217:JPY,2009-08-31,,,,
0001-20090831-122-1155-1-2771,11,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,12,,,,,,,,312,Accounts payable,account,,,,credit,6139436,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,12,,,,,,,,,,,,,,,,,,,1,㈱Y2,trading partner
0001-20090831-122-1155-1-2771,12,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,13,,,,,,,,541,Product purchase amount,account,,,,debit,4189510,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,13,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,14,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,209459,ISO4217:JPY,2009-08-31,,,,
0001-20090831-122-1155-1-2771,14,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,15,,,,,,,,312,Accounts payable,account,,,,credit,4398969,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,15,,,,,,,,,,,,,,,,,,,11,㈱まつむら,trading partner
0001-20090831-122-1155-1-2771,15,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,16,,,,,,,,541,Product purchase amount,account,,,,debit,320544,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,16,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,17,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,16027,ISO4217:JPY,2009-08-31,,,,
0001-20090831-122-1155-1-2771,17,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,18,,,,,,,,312,Accounts payable,account,,,,credit,336571,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,18,,,,,,,,,,,,,,,,,,,12,㈱有江,trading partner
0001-20090831-122-1155-1-2771,18,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,19,,,,,,,,541,Product purchase amount,account,,,,debit,141120,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,19,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,20,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,7056,ISO4217:JPY,2009-08-31,,,,
0001-20090831-122-1155-1-2771,20,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,21,,,,,,,,312,Accounts payable,account,,,,credit,148176,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,21,,,,,,,,,,,,,,,,,,,8,㈱山下,trading partner
0001-20090831-122-1155-1-2771,21,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,22,,,,,,,,541,Product purchase amount,account,,,,debit,779760,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,22,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,23,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,38980,ISO4217:JPY,2009-08-31,,,,
0001-20090831-122-1155-1-2771,23,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-122-1155-1-2771,24,,,,,,,,312,Accounts payable,account,,,,credit,818740,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-122-1155-1-2771,24,,,,,,,,,,,,,,,,,,,2,㈱Pole,trading partner
0001-20090831-122-1155-1-2771,24,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090831-123-1156-1-2773,1,,,,,,,,541,Product purchase amount,account,,,,debit,1732656,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-123-1156-1-2773,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,86616,ISO4217:JPY,2009-08-31,,,,
0001-20090831-123-1156-1-2773,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,3,,,,,,,,312,Accounts payable,account,,,,credit,1819272,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-123-1156-1-2773,3,,,,,,,,,,,,,,,,,,,9,斉藤産業㈱,trading partner
0001-20090831-123-1156-1-2773,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,4,,,,,,,,541,Product purchase amount,account,,,,debit,1122288,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-123-1156-1-2773,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,5,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,56088,ISO4217:JPY,2009-08-31,,,,
0001-20090831-123-1156-1-2773,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,6,,,,,,,,312,Accounts payable,account,,,,credit,1178376,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-123-1156-1-2773,6,,,,,,,,,,,,,,,,,,,15,㈱はなまる商事,trading partner
0001-20090831-123-1156-1-2773,6,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,7,,,,,,,,541,Product purchase amount,account,,,,debit,3466160,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-123-1156-1-2773,7,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,8,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,173284,ISO4217:JPY,2009-08-31,,,,
0001-20090831-123-1156-1-2773,8,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,9,,,,,,,,312,Accounts payable,account,,,,credit,3639444,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-123-1156-1-2773,9,,,,,,,,,,,,,,,,,,,7,㈱ｻﾝｾｯﾄ,trading partner
0001-20090831-123-1156-1-2773,9,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,10,,,,,,,,541,Product purchase amount,account,,,,debit,42336,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-123-1156-1-2773,10,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,11,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,2116,ISO4217:JPY,2009-08-31,,,,
0001-20090831-123-1156-1-2773,11,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,12,,,,,,,,312,Accounts payable,account,,,,credit,44452,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-123-1156-1-2773,12,,,,,,,,,,,,,,,,,,,8,㈱山下,trading partner
0001-20090831-123-1156-1-2773,12,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,13,,,,,,,,541,Product purchase amount,account,,,,debit,258552,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-123-1156-1-2773,13,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,14,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,12925,ISO4217:JPY,2009-08-31,,,,
0001-20090831-123-1156-1-2773,14,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-123-1156-1-2773,15,,,,,,,,312,Accounts payable,account,,,,credit,271477,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-123-1156-1-2773,15,,,,,,,,,,,,,,,,,,,2,㈱Pole,trading partner
0001-20090831-123-1156-1-2773,15,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090831-124-1157-1-2775,1,,,,,,,,541,Product purchase amount,account,,,,debit,3658128,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-124-1157-1-2775,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,182886,ISO4217:JPY,2009-08-31,,,,
0001-20090831-124-1157-1-2775,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,3,,,,,,,,312,Accounts payable,account,,,,credit,3841014,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-124-1157-1-2775,3,,,,,,,,,,,,,,,,,,,5,小藤丸㈱,trading partner
0001-20090831-124-1157-1-2775,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,4,,,,,,,,541,Product purchase amount,account,,,,debit,899208,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-124-1157-1-2775,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,5,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,44937,ISO4217:JPY,2009-08-31,,,,
0001-20090831-124-1157-1-2775,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,6,,,,,,,,312,Accounts payable,account,,,,credit,944145,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-124-1157-1-2775,6,,,,,,,,,,,,,,,,,,,4,㈱ｱﾀｯﾁ,trading partner
0001-20090831-124-1157-1-2775,6,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,7,,,,,,,,541,Product purchase amount,account,,,,debit,2998680,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-124-1157-1-2775,7,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,8,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,149923,ISO4217:JPY,2009-08-31,,,,
0001-20090831-124-1157-1-2775,8,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,9,,,,,,,,312,Accounts payable,account,,,,credit,3148603,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-124-1157-1-2775,9,,,,,,,,,,,,,,,,,,,10,鈴木販売㈱,trading partner
0001-20090831-124-1157-1-2775,9,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,10,,,,,,,,541,Product purchase amount,account,,,,debit,3429350,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-124-1157-1-2775,10,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,11,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,171459,ISO4217:JPY,2009-08-31,,,,
0001-20090831-124-1157-1-2775,11,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,12,,,,,,,,312,Accounts payable,account,,,,credit,3600809,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-124-1157-1-2775,12,,,,,,,,,,,,,,,,,,,6,㈱ﾊﾅﾀﾞ,trading partner
0001-20090831-124-1157-1-2775,12,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,13,,,,,,,,541,Product purchase amount,account,,,,debit,117600,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-124-1157-1-2775,13,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,14,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,5880,ISO4217:JPY,2009-08-31,,,,
0001-20090831-124-1157-1-2775,14,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,15,,,,,,,,312,Accounts payable,account,,,,credit,123480,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-124-1157-1-2775,15,,,,,,,,,,,,,,,,,,,8,㈱山下,trading partner
0001-20090831-124-1157-1-2775,15,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090831-124-1157-1-2775,16,,,,,,,,541,Product purchase amount,account,,,,debit,73872,ISO4217:JPY,2009-08-31,09年8月1日～09年8月31日分仕入,,,
0001-20090831-124-1157-1-2775,16,1,,,,,,,,,,,,,,,,,,,,account sub
